country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010
Denmark,33800,34200,34700,34600,36300,37200,38100,39200,39900,40900,42300,42500,42600,42600,43700,44600,46200,46400,45900,43400,44000
Djibouti,3150,2930,2890,2680,2640,2520,2360,2290,2220,2210,2160,2160,2180,2210,2260,2290,2360,2440,2540,2630,2670
Dominica,6660,6750,6870,6990,6970,7180,7420,7620,7950,8020,8230,8220,7970,8450,8670,8700,9090,9660,10300,10200,10300
Dominican Republic,5520,5460,5960,6290,6330,6580,6850,7340,7710,8040,8290,8370,8620,8380,8480,9150,9860,10500,10700,10600,11400
Ecuador,7460,7600,7590,7560,7710,7720,7680,7850,7940,7420,7360,7510,7690,7760,8260,8550,8780,8820,9230,9130,9310
Egypt,5900,5830,5960,6010,6130,6280,6460,6680,6920,7190,7500,7620,7660,7760,7930,8140,8540,8990,9460,9720,10000
El Salvador,4510,4520,4770,4980,5140,5320,5310,5420,5520,5590,5610,5620,5680,5740,5760,5890,6120,6200,6310,6150,6280
Equatorial Guinea,1770,1670,1910,1990,2120,2290,3310,7270,8480,10100,11300,17700,20200,21900,28600,31700,32600,35900,40400,39100,34000
Eritrea,1250,1390,1540,1760,2150,2220,2440,2630,2670,2630,2490,2610,2570,2390,2320,2290,2190,2170,1910,1950,1960
Estonia,14300,12900,11300,10600,10700,11400,12100,13700,14400,14300,15700,16800,17900,19400,20700,22800,25300,27400,26000,22200,22700
Ethiopia,655,587,517,564,563,577,629,629,590,603,621,654,645,613,677,736,794,860,928,982,1080
Fiji,5890,5680,5950,6000,6210,6290,6510,6300,6330,6830,6680,6790,6990,7050,7410,7430,7510,7370,7370,7190,7350
Finland,28900,27000,26000,25700,26600,27600,28500,30200,31800,33100,34900,35700,36200,36900,38200,39100,40500,42500,42600,38900,39800
France,29500,29600,29900,29600,30200,30700,31100,31700,32700,33600,34700,35100,35300,35300,36100,36400,37000,37700,37600,36300,36800
Gabon,19600,20200,19000,19300,19500,19900,20100,20700,20900,18600,17800,17800,17300,17300,17000,17000,16000,16500,15500,15000,15500
Gambia,1450,1440,1430,1430,1390,1360,1350,1370,1370,1420,1450,1490,1390,1440,1490,1430,1410,1420,1450,1500,1550
Georgia,7980,6260,3420,2400,2180,2330,2680,3060,3240,3400,3530,3760,4000,4470,4760,5250,5770,6530,6710,6520,6980
Germany,31300,32600,33000,32500,33200,33700,33800,34400,35100,35800,36800,37300,37300,37000,37400,37700,39100,40500,41000,38800,40400
Ghana,1900,1940,1960,2000,2010,2040,2070,2110,2150,2190,2220,2250,2300,2360,2430,2510,2600,2650,2810,2880,3030
Greece,20700,21100,21100,20600,20900,21200,21800,22600,23400,24000,24800,25700,26600,28100,29500,29600,31100,32100,31900,30400,28700
Grenada,7240,7330,7210,7000,7030,7120,7380,7710,8570,9130,9540,9310,9590,10500,10400,11700,11200,11900,11900,11100,11000
Guatemala,5100,5170,5290,5370,5460,5600,5640,5750,5900,6000,6070,6070,6160,6170,6210,6270,6460,6710,6780,6670,6710
